game,log,mc_value,noise,player,rs_value
satisfiability,sepsis,-0.028,0.0,Seq2@10@1,-0.077936
satisfiability,sepsis,-0.032,0.0,Seq2@3@1,-0.083055
liveness,sepsis,0.088,0.0,Seq2@3@1,0.113832
liveness,sepsis,0.086,0.0,Seq2@7@3,0.131316
liveness,sepsis,0.083,0.0,Seq2@4@1,0.150774
liveness,sepsis,0.061,0.0,Seq2@6@1,0.066541
liveness,sepsis,0.06,0.0,Seq2@9@2,0.119272
liveness,sepsis,0.046,0.0,Seq2@7@2,0.080155
liveness,sepsis,0.033,0.0,Seq2@10@2,0.033043
liveness,sepsis,0.029,0.0,Seq4@5@2,-0.004386
liveness,sepsis,0.02,0.0,Seq2@8@3,0.001939
liveness,sepsis,0.017,0.0,Seq2@8@1,-0.01503
liveness,sepsis,0.013,0.0,Seq2@6@3,0.001844
liveness,sepsis,0.008,0.0,Seq2@9@3,-0.013374
liveness,sepsis,0.006,0.0,Seq2@6@2,-0.01279
liveness,sepsis,0.002,0.0,Seq2@3@2,0.000579
liveness,sepsis,0.001,0.0,Seq2@4@2,-0.002684
liveness,sepsis,0.0,0.0,Seq2@6@4,-0.027129
liveness,sepsis,0.0,0.0,Seq2@2@2,0.018092
liveness,sepsis,0.0,0.0,Seq3@1,0.008534
liveness,sepsis,-0.001,0.0,Seq4@5@1,0.017308
liveness,sepsis,-0.002,0.0,Seq2@10@1,-0.008435
liveness,sepsis,-0.004,0.0,Seq2@8@2,-0.026652
liveness,sepsis,-0.006,0.0,Seq2@7@4,0.021593
liveness,sepsis,-0.008,0.0,Seq2@9@1,-0.0334
liveness,sepsis,-0.011,0.0,Seq2@7@1,-0.028999
liveness,sepsis,-0.014,0.0,Seq3@7,-0.001667
liveness,sepsis,-0.063,0.0,Seq2@2@1,-0.160876
liveness,sepsis,-0.444,0.0,Seq2@3@3,-0.290047
safety,sepsis,0.0,0.0,Seq2@3@1,0.0
safety,sepsis,0.0,0.0,Seq2@2@1,0.0
safety,sepsis,0.0,0.0,Seq2@4@1,0.0
safety,sepsis,0.0,0.0,Seq2@7@1,0.0
